id,case_id,window,h_value,h_se,two_h_value,two_h_se,four_h_value,four_h_se,richardson_value,richardson_se,richardson_prime_value,richardson_prime_se,fine_gap_value,fine_gap_se,coarse_gap_value,coarse_gap_se,residual_value,residual_se,b_r
core-PV:r_dot_v,core-PV,0,1.123330670148361,0.0011160675698075522,1.1221791893774637,0.0011159859661960011,1.1198715129058925,0.001115853603251589,1.1244821509192582,0.0011161511909568809,1.124486865849035,0.0011161264201565916,0.0011514807708972175,1.5028420766894986e-06,0.0023076764715712628,3.0080033476581685e-06,-4.714929776383769e-06,3.4597253458166025e-06,1.3626591704199844e-05
core-PV:r_dot_v,core-PV,1,1.1227267281073374,0.0013652978072782249,1.1215742544297784,0.0013652049555218178,1.1192652392089286,0.0013650502882967233,1.1238792017848964,0.0013653931288935591,1.1238832696506282,0.0013653694945076292,0.001152473677558996,1.8387351106659754e-06,0.0023090152208498083,3.6745712899042562e-06,-4.067865731816056e-06,4.226261325868014e-06,1.4953993499235648e-05
core-PV:r_dot_v,core-PV,2,1.1231170232245138,0.0015526836543193515,1.1219650759923891,0.0015525797010768221,1.1196548922836789,0.0015524010073032413,1.1242689704566384,0.0015527904058474274,1.1242752597010994,0.0015527695977903108,0.0011519472321246393,2.0870920704525288e-06,0.0023101837087102783,4.17462012717144e-06,-6.2892444609996545e-06,4.793202394829145e-06,1.863571564720694e-05
core-PTheta:u_xx,core-PTheta,0,0.6000594031980769,0.0001596109752678141,0.6000594031980769,0.0001596109752678141,0.6000594031980769,0.00015961097526781407,0.6000594031980769,0.00015961097526781415,0.6000594031980769,0.00015961097526781407,0.0,3.429919312409996e-12,0.0,0.0,0.0,5.4231786089071094e-12,1.3969182378937298e-11
core-PTheta:u_xx,core-PTheta,1,0.6000898041616021,0.0001954646098295624,0.600089804161602,0.00019546460982956243,0.600089804161602,0.00019546460982956237,0.6000898041616022,0.00019546460982956243,0.600089804161602,0.0001954646098295625,1.1102230246251565e-16,2.4253192047278085e-12,0.0,3.429919312409996e-12,0.0,5.940794514955822e-12,1.5302472597695275e-11
core-PTheta:u_xx,core-PTheta,2,0.5999782710250279,0.00022187597028797783,0.599978271025028,0.00022187597028797783,0.599978271025028,0.00022187597028797783,0.5999782710250278,0.00022187597028797783,0.599978271025028,0.00022187597028797772,-1.1102230246251565e-16,0.0,0.0,0.0,-3.3306690738754696e-16,0.0,3.3306690738754696e-16
core-PTheta:speed,core-PTheta,0,3.284210379855919,0.0016668057708099317,3.288018434036337,0.0016682503913386666,3.2956313525365006,0.0016711279966846408,3.280402325675501,0.0016653681858656687,3.2804055155361738,0.0016654008600298024,-0.0038080541804181856,3.715338782889522e-06,-0.007612918500163435,7.4185405571998335e-06,-3.1898606742686297e-06,8.421461631095859e-06,2.4882108321946248e-05
core-PTheta:speed,core-PTheta,1,3.28511510310106,0.0020422224577528623,3.288924958563771,0.0020440095670572235,3.296541214014851,0.0020475347159833266,3.2813052476383486,0.002040443928470502,3.2813087031126913,0.0020405187933203975,-0.003809855462711287,4.549810617496379e-06,-0.007616255451079912,9.086765313820134e-06,-3.4554743422177125e-06,1.0266612130922614e-05,2.990051471671676e-05
core-PTheta:speed,core-PTheta,2,3.2839453218210597,0.0023163151774836434,3.2877545281824743,0.0023183554437896446,3.2953757212440027,0.0023224003881171015,3.280136115459645,0.0023142847036646194,3.280133335120946,0.0023143496202392973,-0.0038092063614145744,5.1793089765372654e-06,-0.00762119306152842,1.0339243929882485e-05,2.780338700159035e-06,1.166841165054875e-05,3.283617535494331e-05
core-PTheta:spatial,core-PTheta,0,2.9935897729838645,0.005196238431712031,2.994925127384241,0.00519725803245524,2.9975799641791245,0.0051992348746653615,2.992254418583488,0.005195225215923407,2.992270290589358,0.005195307089662829,-0.001335354400376687,5.849003535157283e-06,-0.0026548367948833196,1.1767030134719882e-05,-1.587200587094273e-05,1.3737303571372566e-05,5.125695496115939e-05
